Mode,Encryption,NumTasks,WaitTimeMillis
brokered,encrypted,9,1934
brokered,encrypted,9,488
brokered,encrypted,9,495
brokered,encrypted,9,478
brokered,encrypted,9,468
brokered,encrypted,9,465
brokered,encrypted,9,484
brokered,encrypted,9,372
brokered,encrypted,9,524
brokered,encrypted,9,488
brokered,encrypted,10,433
brokered,encrypted,10,470
brokered,encrypted,10,408
brokered,encrypted,10,508
brokered,encrypted,10,451
brokered,encrypted,10,448
brokered,encrypted,10,476
brokered,encrypted,10,481
brokered,encrypted,10,431
brokered,encrypted,10,438
brokered,encrypted,15,447
brokered,encrypted,15,523
brokered,encrypted,15,512
brokered,encrypted,15,586
brokered,encrypted,15,526
brokered,encrypted,15,496
brokered,encrypted,15,439
brokered,encrypted,15,491
brokered,encrypted,15,501
brokered,encrypted,15,481
brokered,encrypted,20,552
brokered,encrypted,20,576
brokered,encrypted,20,756
brokered,encrypted,20,626
brokered,encrypted,20,629
brokered,encrypted,20,608
brokered,encrypted,20,650
brokered,encrypted,20,601
brokered,encrypted,20,606
brokered,encrypted,20,635
brokered,encrypted,25,685
brokered,encrypted,25,725
brokered,encrypted,25,657
brokered,encrypted,25,761
brokered,encrypted,25,699
brokered,encrypted,25,742
brokered,encrypted,25,992
brokered,encrypted,25,742
brokered,encrypted,25,737
brokered,encrypted,25,706
brokered,encrypted,30,707
brokered,encrypted,30,768
brokered,encrypted,30,839
brokered,encrypted,30,769
brokered,encrypted,30,808
brokered,encrypted,30,853
brokered,encrypted,30,969
brokered,encrypted,30,816
brokered,encrypted,30,905
brokered,encrypted,30,838
direct,encrypted,9,356
direct,encrypted,9,366
direct,encrypted,9,339
direct,encrypted,9,361
direct,encrypted,9,421
direct,encrypted,9,301
direct,encrypted,9,322
direct,encrypted,9,443
direct,encrypted,9,326
direct,encrypted,9,338
direct,encrypted,10,332
direct,encrypted,10,314
direct,encrypted,10,357
direct,encrypted,10,380
direct,encrypted,10,398
direct,encrypted,10,379
direct,encrypted,10,321
direct,encrypted,10,321
direct,encrypted,10,318
direct,encrypted,10,354
direct,encrypted,15,458
direct,encrypted,15,509
direct,encrypted,15,438
direct,encrypted,15,559
direct,encrypted,15,472
direct,encrypted,15,466
direct,encrypted,15,471
direct,encrypted,15,468
direct,encrypted,15,440
direct,encrypted,15,465
direct,encrypted,20,584
direct,encrypted,20,533
direct,encrypted,20,648
direct,encrypted,20,628
direct,encrypted,20,628
direct,encrypted,20,636
direct,encrypted,20,605
direct,encrypted,20,687
direct,encrypted,20,607
direct,encrypted,20,589
direct,encrypted,25,806
direct,encrypted,25,685
direct,encrypted,25,719
direct,encrypted,25,678
direct,encrypted,25,711
direct,encrypted,25,810
direct,encrypted,25,824
direct,encrypted,25,703
direct,encrypted,25,856
direct,encrypted,25,666
direct,encrypted,30,953
direct,encrypted,30,830
direct,encrypted,30,828
direct,encrypted,30,921
direct,encrypted,30,855
direct,encrypted,30,843
direct,encrypted,30,808
direct,encrypted,30,984
direct,encrypted,30,842
direct,encrypted,30,897
brokered,plain,9,167
brokered,plain,9,207
brokered,plain,9,202
brokered,plain,9,201
brokered,plain,9,203
brokered,plain,9,207
brokered,plain,9,203
brokered,plain,9,204
brokered,plain,9,201
brokered,plain,9,199
brokered,plain,10,244
brokered,plain,10,212
brokered,plain,10,207
brokered,plain,10,234
brokered,plain,10,215
brokered,plain,10,212
brokered,plain,10,242
brokered,plain,10,213
brokered,plain,10,205
brokered,plain,10,213
brokered,plain,15,201
brokered,plain,15,390
brokered,plain,15,323
brokered,plain,15,257
brokered,plain,15,264
brokered,plain,15,296
brokered,plain,15,310
brokered,plain,15,275
brokered,plain,15,262
brokered,plain,15,328
brokered,plain,20,363
brokered,plain,20,355
brokered,plain,20,359
brokered,plain,20,408
brokered,plain,20,387
brokered,plain,20,345
brokered,plain,20,289
brokered,plain,20,352
brokered,plain,20,281
brokered,plain,20,343
brokered,plain,25,323
brokered,plain,25,401
brokered,plain,25,426
brokered,plain,25,418
brokered,plain,25,467
brokered,plain,25,392
brokered,plain,25,368
brokered,plain,25,425
brokered,plain,25,416
brokered,plain,25,366
brokered,plain,30,450
brokered,plain,30,481
brokered,plain,30,481
brokered,plain,30,447
brokered,plain,30,461
brokered,plain,30,454
brokered,plain,30,474
brokered,plain,30,484
brokered,plain,30,398
brokered,plain,30,454
direct,plain,9,206
direct,plain,9,173
direct,plain,9,162
direct,plain,9,173
direct,plain,9,162
direct,plain,9,167
direct,plain,9,138
direct,plain,9,201
direct,plain,9,149
direct,plain,9,154
direct,plain,10,160
direct,plain,10,136
direct,plain,10,165
direct,plain,10,133
direct,plain,10,151
direct,plain,10,142
direct,plain,10,159
direct,plain,10,162
direct,plain,10,126
direct,plain,10,171
direct,plain,15,202
direct,plain,15,261
direct,plain,15,213
direct,plain,15,218
direct,plain,15,213
direct,plain,15,197
direct,plain,15,263
direct,plain,15,242
direct,plain,15,206
direct,plain,15,247
direct,plain,20,415
direct,plain,20,369
direct,plain,20,270
direct,plain,20,364
direct,plain,20,285
direct,plain,20,276
direct,plain,20,267
direct,plain,20,306
direct,plain,20,273
direct,plain,20,416
direct,plain,25,451
direct,plain,25,378
direct,plain,25,318
direct,plain,25,339
direct,plain,25,462
direct,plain,25,341
direct,plain,25,365
direct,plain,25,279
direct,plain,25,313
direct,plain,25,382
direct,plain,30,404
direct,plain,30,424
direct,plain,30,436
direct,plain,30,425
direct,plain,30,473
direct,plain,30,423
direct,plain,30,438
direct,plain,30,434
direct,plain,30,473
direct,plain,30,479
