Mode,Encryption,NumTasks,WaitTimeMillis
brokered,encrypted,50,1748
brokered,encrypted,50,993
brokered,encrypted,50,972
brokered,encrypted,50,825
brokered,encrypted,50,821
brokered,encrypted,50,825
brokered,encrypted,50,767
brokered,encrypted,50,793
brokered,encrypted,50,862
brokered,encrypted,50,791
brokered,encrypted,50,876
brokered,encrypted,50,818
brokered,encrypted,50,780
brokered,encrypted,50,854
brokered,encrypted,50,750
brokered,encrypted,50,787
brokered,encrypted,50,800
brokered,encrypted,50,798
brokered,encrypted,50,678
brokered,encrypted,50,761
direct,encrypted,50,905
direct,encrypted,50,758
direct,encrypted,50,742
direct,encrypted,50,836
direct,encrypted,50,719
direct,encrypted,50,665
direct,encrypted,50,723
direct,encrypted,50,625
direct,encrypted,50,744
direct,encrypted,50,640
direct,encrypted,50,749
direct,encrypted,50,621
direct,encrypted,50,824
direct,encrypted,50,707
direct,encrypted,50,600
direct,encrypted,50,567
direct,encrypted,50,773
direct,encrypted,50,770
direct,encrypted,50,437
direct,encrypted,50,611
brokered,plain,50,449
brokered,plain,50,448
brokered,plain,50,425
brokered,plain,50,431
brokered,plain,50,470
brokered,plain,50,469
brokered,plain,50,485
brokered,plain,50,471
brokered,plain,50,506
brokered,plain,50,457
brokered,plain,50,477
brokered,plain,50,452
brokered,plain,50,428
brokered,plain,50,499
brokered,plain,50,478
brokered,plain,50,438
brokered,plain,50,480
brokered,plain,50,467
brokered,plain,50,475
brokered,plain,50,446
direct,plain,50,146
direct,plain,50,136
direct,plain,50,133
direct,plain,50,186
direct,plain,50,379
direct,plain,50,130
direct,plain,50,229
direct,plain,50,232
direct,plain,50,244
direct,plain,50,160
direct,plain,50,125
direct,plain,50,157
direct,plain,50,172
direct,plain,50,118
direct,plain,50,195
direct,plain,50,206
direct,plain,50,160
direct,plain,50,227
direct,plain,50,227
direct,plain,50,150
