Mode,Encryption,NumTasks,WaitTimeMillis
brokered,encrypted,50,3318
brokered,encrypted,50,1499
brokered,encrypted,50,1284
brokered,encrypted,50,1262
brokered,encrypted,50,1350
brokered,encrypted,50,1328
brokered,encrypted,50,1329
brokered,encrypted,50,1268
brokered,encrypted,50,1342
brokered,encrypted,50,1311
brokered,encrypted,50,1326
brokered,encrypted,50,1369
brokered,encrypted,50,1339
brokered,encrypted,50,1270
brokered,encrypted,50,1298
brokered,encrypted,50,1239
brokered,encrypted,50,1330
brokered,encrypted,50,1367
brokered,encrypted,50,1337
brokered,encrypted,50,1338
direct,encrypted,50,1242
direct,encrypted,50,1105
direct,encrypted,50,1365
direct,encrypted,50,1351
direct,encrypted,50,1294
direct,encrypted,50,1323
direct,encrypted,50,1386
direct,encrypted,50,1371
direct,encrypted,50,1339
direct,encrypted,50,1342
direct,encrypted,50,1425
direct,encrypted,50,1331
direct,encrypted,50,1294
direct,encrypted,50,1270
direct,encrypted,50,1317
direct,encrypted,50,1376
direct,encrypted,50,1341
direct,encrypted,50,1413
direct,encrypted,50,1273
direct,encrypted,50,1355
brokered,plain,50,507
brokered,plain,50,604
brokered,plain,50,747
brokered,plain,50,864
brokered,plain,50,593
brokered,plain,50,739
brokered,plain,50,559
brokered,plain,50,658
brokered,plain,50,653
brokered,plain,50,576
brokered,plain,50,554
brokered,plain,50,650
brokered,plain,50,587
brokered,plain,50,649
brokered,plain,50,633
brokered,plain,50,653
brokered,plain,50,722
brokered,plain,50,605
brokered,plain,50,638
brokered,plain,50,664
direct,plain,50,611
direct,plain,50,648
direct,plain,50,650
direct,plain,50,736
direct,plain,50,635
direct,plain,50,653
direct,plain,50,623
direct,plain,50,624
direct,plain,50,606
direct,plain,50,753
direct,plain,50,695
direct,plain,50,662
direct,plain,50,716
direct,plain,50,654
direct,plain,50,675
direct,plain,50,603
direct,plain,50,697
direct,plain,50,593
direct,plain,50,710
direct,plain,50,631
