Mode,Encryption,NumTasks,WaitTimeMillis
brokered,encrypted,10,2036
brokered,encrypted,10,595
brokered,encrypted,10,405
brokered,encrypted,10,471
brokered,encrypted,10,574
brokered,encrypted,10,433
brokered,encrypted,10,486
brokered,encrypted,10,537
brokered,encrypted,10,534
brokered,encrypted,10,629
brokered,encrypted,15,507
brokered,encrypted,15,516
brokered,encrypted,15,476
brokered,encrypted,15,502
brokered,encrypted,15,474
brokered,encrypted,15,493
brokered,encrypted,15,537
brokered,encrypted,15,493
brokered,encrypted,15,601
brokered,encrypted,15,545
brokered,encrypted,20,710
brokered,encrypted,20,693
brokered,encrypted,20,628
brokered,encrypted,20,734
brokered,encrypted,20,737
brokered,encrypted,20,592
brokered,encrypted,20,639
brokered,encrypted,20,565
brokered,encrypted,20,735
brokered,encrypted,20,551
brokered,encrypted,25,732
brokered,encrypted,25,712
brokered,encrypted,25,672
brokered,encrypted,25,710
brokered,encrypted,25,727
brokered,encrypted,25,740
brokered,encrypted,25,713
brokered,encrypted,25,810
brokered,encrypted,25,746
brokered,encrypted,25,863
brokered,encrypted,30,828
brokered,encrypted,30,992
brokered,encrypted,30,986
brokered,encrypted,30,892
brokered,encrypted,30,953
brokered,encrypted,30,846
brokered,encrypted,30,875
brokered,encrypted,30,1023
brokered,encrypted,30,863
brokered,encrypted,30,927
direct,encrypted,10,441
direct,encrypted,10,425
direct,encrypted,10,442
direct,encrypted,10,389
direct,encrypted,10,466
direct,encrypted,10,373
direct,encrypted,10,319
direct,encrypted,10,450
direct,encrypted,10,456
direct,encrypted,10,390
direct,encrypted,15,436
direct,encrypted,15,462
direct,encrypted,15,511
direct,encrypted,15,455
direct,encrypted,15,470
direct,encrypted,15,461
direct,encrypted,15,489
direct,encrypted,15,476
direct,encrypted,15,513
direct,encrypted,15,463
direct,encrypted,20,601
direct,encrypted,20,606
direct,encrypted,20,591
direct,encrypted,20,609
direct,encrypted,20,624
direct,encrypted,20,643
direct,encrypted,20,578
direct,encrypted,20,669
direct,encrypted,20,669
direct,encrypted,20,678
direct,encrypted,25,827
direct,encrypted,25,666
direct,encrypted,25,690
direct,encrypted,25,779
direct,encrypted,25,738
direct,encrypted,25,807
direct,encrypted,25,683
direct,encrypted,25,746
direct,encrypted,25,701
direct,encrypted,25,703
direct,encrypted,30,824
direct,encrypted,30,820
direct,encrypted,30,855
direct,encrypted,30,787
direct,encrypted,30,842
direct,encrypted,30,890
direct,encrypted,30,849
direct,encrypted,30,845
direct,encrypted,30,865
direct,encrypted,30,856
brokered,plain,10,221
brokered,plain,10,203
brokered,plain,10,182
brokered,plain,10,190
brokered,plain,10,240
brokered,plain,10,205
brokered,plain,10,216
brokered,plain,10,212
brokered,plain,10,214
brokered,plain,10,204
brokered,plain,15,360
brokered,plain,15,327
brokered,plain,15,366
brokered,plain,15,266
brokered,plain,15,230
brokered,plain,15,325
brokered,plain,15,358
brokered,plain,15,345
brokered,plain,15,240
brokered,plain,15,357
brokered,plain,20,292
brokered,plain,20,426
brokered,plain,20,287
brokered,plain,20,454
brokered,plain,20,420
brokered,plain,20,369
brokered,plain,20,313
brokered,plain,20,370
brokered,plain,20,334
brokered,plain,20,400
brokered,plain,25,420
brokered,plain,25,441
brokered,plain,25,884
brokered,plain,25,547
brokered,plain,25,415
brokered,plain,25,524
brokered,plain,25,367
brokered,plain,25,447
brokered,plain,25,592
brokered,plain,25,426
brokered,plain,30,485
brokered,plain,30,411
brokered,plain,30,415
brokered,plain,30,475
brokered,plain,30,515
brokered,plain,30,432
brokered,plain,30,581
brokered,plain,30,468
brokered,plain,30,544
brokered,plain,30,391
direct,plain,10,173
direct,plain,10,124
direct,plain,10,170
direct,plain,10,127
direct,plain,10,144
direct,plain,10,165
direct,plain,10,169
direct,plain,10,167
direct,plain,10,188
direct,plain,10,130
direct,plain,15,202
direct,plain,15,273
direct,plain,15,179
direct,plain,15,276
direct,plain,15,234
direct,plain,15,190
direct,plain,15,307
direct,plain,15,243
direct,plain,15,187
direct,plain,15,236
direct,plain,20,355
direct,plain,20,271
direct,plain,20,361
direct,plain,20,284
direct,plain,20,332
direct,plain,20,308
direct,plain,20,262
direct,plain,20,341
direct,plain,20,371
direct,plain,20,311
direct,plain,25,484
direct,plain,25,468
direct,plain,25,350
direct,plain,25,373
direct,plain,25,514
direct,plain,25,499
direct,plain,25,416
direct,plain,25,408
direct,plain,25,396
direct,plain,25,479
direct,plain,30,346
direct,plain,30,436
direct,plain,30,408
direct,plain,30,371
direct,plain,30,452
direct,plain,30,504
direct,plain,30,568
direct,plain,30,394
direct,plain,30,514
direct,plain,30,507
